id	name	created_time	created_time_unix	link	imageurl	likecount	reactionscount	commentcount
991151284345035		2016-10-17T19:16:00+0000	1476731760	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991151284345035/?type=3	https://scontent.xx.fbcdn.net/v/l/t1.0-9/14702413_991151284345035_4459248492628548826_n.png?oh=528f8cc07892fc6496e7cca826c0ad7b&oe=58B46AE4	453	529	9
991151041011726	Bill Clinton used Monica Lewinksy as his personal humidor. Unfit to be First Lady!	2016-10-17T13:16:00+0000	1476710160	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991151041011726/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14570353_991151041011726_3986084058175181930_n.png?oh=8b7223a616c733f5b9ecd3dea676815e&oe=58AFD859	94	135	4
991150894345074	Honest Abe never lied!	2016-10-17T20:16:01+0000	1476735361	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991150894345074/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14690916_991150894345074_3219009035114806869_n.jpg?oh=45787033afc4cf9734d6e37c5b85a871&oe=58F9222F	221	251	4
991150434345120	Hillary Clinton is a disgrace.	2016-10-17T12:14:00+0000	1476706440	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991150434345120/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14671070_991150434345120_1213438671991852244_n.png?oh=cd0da31905c00736b3a6d7f99cefc85b&oe=58F93B3E	103	119	3
991150164345147	SO TRUE!	2016-10-17T11:13:01+0000	1476702781	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991150164345147/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14691092_991150164345147_5985056097383800983_n.jpg?oh=29e60c560df5a1d8735a1db1a6888c16&oe=58E81D0D	220	275	9
991149991011831	SAD!	2016-10-17T10:13:00+0000	1476699180	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991149991011831/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14702349_991149991011831_4764117512378760486_n.png?oh=895cfa4c03dd518b6fe9c495e7b91e8b&oe=58E85C04	641	761	20
991149321011898	SAD	2016-10-17T21:11:00+0000	1476738660	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991149321011898/?type=3	https://scontent.xx.fbcdn.net/v/t31.0-8/14682206_991149321011898_5199011957241776558_o.png?oh=37fffac880b2a6b54c898d30db1e4f4a&oe=58AF263F	765	875	33
991148987678598	It's gonna happen, folks.	2016-10-17T09:09:01+0000	1476695341	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991148987678598/?type=3	https://scontent.xx.fbcdn.net/v/t31.0-8/14707791_991148987678598_6959290396385306515_o.jpg?oh=49ee5980dcf88f29ca69711007deb9d6&oe=58E4A8E6	1478	1832	76
991148127678684	SAD!	2016-10-17T08:06:00+0000	1476691560	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991148127678684/?type=3	https://scontent.xx.fbcdn.net/v/t1.0-9/14681618_991148127678684_7397599816944724967_n.png?oh=53ee626272138d089396fe6f2f457918&oe=58B4D270	374	430	13
991147157678781	Too many people!	2016-10-17T22:06:00+0000	1476741960	https://www.facebook.com/GodEmperorTrump/photos/a.792821487511350.1073741828.791373644322801/991147157678781/?type=3	https://scontent.xx.fbcdn.net/v/t31.0-8/14712783_991147157678781_1506153310011534532_o.jpg?oh=e89339939ca0ae66ac993d0891acd0b0&oe=58EB165F	332	378	8
